Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:39:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:40:01 AM     all     21.81      0.00      7.60      0.16      0.00     70.43
09:41:01 AM     all     12.35      0.00      5.92      0.00      0.00     81.73
09:42:01 AM     all      8.11      0.00      5.53      0.00      0.00     86.35
09:43:01 AM     all      6.72      0.00      2.78      0.01      0.00     90.50
09:44:01 AM     all      5.77      0.00      1.01      0.00      0.00     93.23
09:45:01 AM     all     18.40      0.00      3.05      0.00      0.00     78.55
09:46:01 AM     all      7.84      0.00      0.37      0.00      0.00     91.79
09:47:01 AM     all      6.14      0.00      0.19      0.00      0.00     93.67
09:48:01 AM     all      5.75      0.00      0.38      0.00      0.00     93.87
09:49:01 AM     all      4.78      0.00      1.30      0.00      0.00     93.92
09:50:01 AM     all     12.72      0.00      2.19      0.00      0.00     85.09
09:51:01 AM     all     11.25      0.00      0.77      0.00      0.00     87.98
