# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416386401;36666324;227858100;86.14;116568;24720548;207591320;76.07
axle;60;1416386461;34639472;229884952;86.91;116640;26749112;207539096;76.05
axle;59;1416386521;34606312;229918112;86.92;116704;26775972;207584116;76.06
axle;60;1416386581;34640356;229884068;86.90;116748;26789120;207491948;76.03
axle;60;1416386641;34639956;229884468;86.90;116788;26791260;207491960;76.03
axle;60;1416386701;26975232;237549192;89.80;116836;26957752;215154516;78.84
axle;60;1416386761;30267236;234257188;88.56;116916;26959764;211702128;77.57
axle;60;1416386821;30264820;234259604;88.56;116960;26961036;211702128;77.57
axle;60;1416386881;30264100;234260324;88.56;116992;26962540;211702128;77.57
axle;60;1416386941;31185052;233339372;88.21;117024;26964552;210946992;77.30
axle;60;1416387001;24889536;239634888;90.59;117068;26969500;217908704;79.85
axle;60;1416387061;30256900;234267524;88.56;117104;26972544;211692368;77.57
