# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416387794;18749840;245774584;92.91;119020;40879124;209165352;76.64
axle;59;1416387854;16255080;248269344;93.85;119112;41049840;211466856;77.49
axle;60;1416387914;16058576;248465848;93.93;119212;40902916;211913172;77.65
axle;60;1416387974;18847232;245677192;92.88;119324;40944224;208994772;76.58
axle;60;1416388034;15072176;249452248;94.30;119424;40964256;212817728;77.98
axle;60;1416388094;17387400;247137024;93.43;119528;41001800;210451668;77.11
axle;60;1416388154;18372344;246152080;93.05;119628;41024908;209412396;76.73
axle;60;1416388214;16814624;247709800;93.64;119748;41069332;210928748;77.29
