# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416387131;26483132;238041292;89.99;117496;34707124;207744712;76.12
axle;60;1416387191;26063624;238460800;90.15;117560;34722548;208263804;76.31
axle;60;1416387251;23109672;241414752;91.26;117668;36767516;209161332;76.64
axle;60;1416387311;24221992;240302432;90.84;117748;37093052;207596108;76.07
axle;60;1416387371;24193728;240330696;90.85;117820;37098184;207629384;76.08
axle;60;1416387431;23058932;241465492;91.28;117924;38393212;207478668;76.02
axle;60;1416387491;23047632;241476792;91.29;117968;38394276;207478668;76.02
axle;60;1416387551;20730252;243794172;92.16;118048;40707128;207489056;76.03
axle;60;1416387611;20736160;243788264;92.16;118112;40708156;207477596;76.02
