Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:51:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:52:11 AM     all      5.45      0.00      7.40      0.08      0.00     87.07
09:53:11 AM     all      6.52      0.00      6.91      0.00      0.00     86.57
09:54:11 AM     all      6.44      0.00      6.50      0.01      0.00     87.05
09:55:11 AM     all      6.73      0.00      6.38      0.01      0.00     86.88
09:56:11 AM     all      5.74      0.00      1.67      0.00      0.00     92.59
09:57:11 AM     all      4.27      0.00      2.17      0.00      0.00     93.56
09:58:11 AM     all      5.96      0.00      0.32      0.00      0.00     93.72
09:59:11 AM     all      4.30      0.00      2.09      0.00      0.00     93.61
10:00:11 AM     all      4.67      0.00      1.71      0.00      0.00     93.63
